,,Steinert 1965,Aarden 1975,Stoller 1975,Deegan 1978,Aarden 1981,Tan 1982,Stienmetz 1984,Deng 1984,Deng 1985,Smeenk 1986,Konstantinov 1987,Feltkamp 1988,Borg 1990,Smeenk 1991,Werle 1992,Sawalha 2004,Kurien 2006,Tonutti 2008,Hamann 2014,Lokta 2019
Red,Steinert 1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Aarden 1975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Stoller 1975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow,Deegan 1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Aarden 1981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow,Tan 1982,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green,Stienmetz 1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green,Deng 1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green,Deng 1985,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Red,Smeenk 1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Konstantinov 1987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Feltkamp 1988,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Red,Borg 1990,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Red,Smeenk 1991,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Yellow,Werle 1992,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Red,Sawalha 2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Kurien 2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Red,Tonutti 2008,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Red,Hamann 2014,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Lokta 2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0